symbol,Debt/Equity,Interest Coverage,Price/Cash Flow
41A.SI,,,
544.SI,0.60,12.45,5.86
5G9.SI,0.83,-19.76,1.72
5UX.SI,,-1.08,23.15
A17U.SI,0.67,4.83,18.38
ACV.SI,0.61,-5.42,16.86
AJBU.SI,0.56,10.10,23.04
AP4.SI,0.01,514.86,15.58
AU8U.SI,0.64,5.46,23.42
AW9U.SI,0.58,4.12,2.57
AWX.SI,0.05,624.05,8.67
BN2.SI,0.00,257.85,4.56
BN4.SI,1.28,1.34,
BS6.SI,0.17,31.06,
BTOU.SI,0.69,0.57,12.80
BUOU.SI,0.67,15.30,18.55
BVA.SI,0.07,299.17,22.47
BWCU.SI,0.95,3.57,9.43
C07.SI,1.14,12.00,3.02
C09.SI,1.01,2.37,
C2PU.SI,0.67,28.42,25.58
C31.SI,1.34,4.03,8.90
C38U.SI,0.49,2.27,26.04
C52.SI,0.34,11.42,6.19
C61U.SI,0.41,3.48,20.49
C6L.SI,0.73,-18.20,
CC3.SI,2.52,6.21,3.81
CJLU.SI,0.25,6.49,13.91
CMOU.SI,0.66,6.74,8.86
CNNU.SI,0.68,6.44,14.10
CRPU.SI,0.45,8.95,7.89
CY6U.SI,0.62,8.15,10.80
D05.SI,,,4.52
D5IU.SI,0.89,-4.34,2.68
E5H.SI,0.77,2.20,3.35
F17.SI,1.24,2.47,
F34.SI,1.49,3.47,7.32
G07.SI,0.05,55.21,3.83
G13.SI,0.04,-44.36,17.57
HMN.SI,0.69,2.14,21.69
J36.SI,0.71,2.23,4.22
J69U.SI,0.46,9.76,20.33
J91U.SI,0.88,-0.25,7.94
JYEU.SI,0.53,,
K2LU.SI,0.81,0.72,8.13
M44U.SI,0.71,6.65,16.72
ME8U.SI,0.51,9.90,22.32
N2IU.SI,0.53,1.26,19.46
O32.SI,1.96,2.30,11.64
O39.SI,,,3.98
O5RU.SI,0.62,2.08,11.92
OV8.SI,0.21,65.54,9.55
OXMU.SI,0.52,3.66,13.05
P40U.SI,0.69,-1.49,10.73
RW0U.SI,0.74,-0.59,12.09
S58.SI,0.58,-2.51,25.58
S59.SI,0.06,22.10,23.36
S63.SI,0.81,13.36,10.14
S68.SI,0.32,198.70,15.92
SV3U.SI,0.65,3.39,13.11
T82U.SI,0.72,3.90,19.76
TS0U.SI,0.82,2.97,10.54
U11.SI,0.62,,2.58
U14.SI,0.55,3.53,38.46
U96.SI,2.22,0.69,10.30
UD1U.SI,0.66,21.73,9.77
V03.SI,0.01,611.40,20.66
VL6.SI,1.81,5.04,4.71
Y92.SI,1.66,5.67,11.15
Z74.SI,0.50,5.87,6.63
