Name,SGX_Symbol,Sector
AEM Holdings Ltd,AWX.SI,Technology
AIMS APAC REIT,O5RU.SI,Real Estate
ARA LOGOS Logistics Trust,K2LU.SI,Real Estate
Ascendas India Trust,CY6U.SI,Real Estate
Ascendas Real Estate Investment Trust,A17U.SI,Real Estate
Ascott Residence Trust,HMN.SI,Real Estate
CSE Global Limited,544.SI,Technology
CapitaLand Limited,C31.SI,Real Estate
CapitaLand Mall Trust,C38U.SI,Real Estate
CapitaLand Retail China Trust,AU8U.SI,Real Estate
City Developments Limited,C09.SI,Real Estate
ComfortDelGro Corporation Limited,C52.SI,Industrials
Cromwell European Real Estate Investment Trust,CNNU.SI,Real Estate
DBS Group Holdings Ltd,D05.SI,Financial Services
EC World Real Estate Investment Trust,BWCU.SI,Real Estate
ESR-REIT,J91U.SI,Real Estate
First Real Estate Investment Trust,AW9U.SI,Real Estate
Frasers Centrepoint Trust,J69U.SI,Real Estate
Frasers Hospitality Trust,ACV.SI,Real Estate
Frasers Logistics & Commercial Trust,BUOU.SI,Real Estate
Genting Singapore Limited,G13.SI,Consumer Cyclical
Golden Agri-Resources Ltd,E5H.SI,Consumer Defensive
Great Eastern Holdings Limited,G07.SI,Financial Services
GuocoLand Limited,F17.SI,Real Estate
IREIT Global,UD1U.SI,Real Estate
Jardine Cycle & Carriage Limited,C07.SI,Consumer Cyclical
Jardine Matheson Holdings Limited,J36.SI,Industrials
Keppel Corporation Limited,BN4.SI,Industrials
Keppel DC REIT,AJBU.SI,Real Estate
Keppel Pacific Oak US REIT,CMOU.SI,Real Estate
Koufu Group Limited,VL6.SI,Consumer Cyclical
Lendlease Global Commercial REIT,JYEU.SI,Real Estate
Lippo Malls Indonesia Retail Trust,D5IU.SI,Real Estate
Manulife US Real Estate Investment Trust,BTOU.SI,Real Estate
Mapletree Commercial Trust,N2IU.SI,Real Estate
Mapletree Industrial Trust,ME8U.SI,Real Estate
Mapletree Logistics Trust,M44U.SI,Real Estate
Mapletree North Asia Commercial Trust,RW0U.SI,Real Estate
NetLink NBN Trust,CJLU.SI,Communication Services
OUE Commercial Real Estate Investment Trust,TS0U.SI,Real Estate
Olam International Limited,O32.SI,Consumer Defensive
Oversea-Chinese Banking Corporation Limited,O39.SI,Financial Services
Oxley Holdings Limited,5UX.SI,Real Estate
Parkway Life Real Estate Investment Trust,C2PU.SI,Real Estate
Prime US REIT,OXMU.SI,Real Estate
Riverstone Holdings Limited,AP4.SI,Healthcare
SATS Ltd.,S58.SI,Industrials
SIA Engineering Company Limited,S59.SI,Industrials
Sasseur Real Estate Investment Trust,CRPU.SI,Real Estate
Sembcorp Industries Ltd,U96.SI,Industrials
Sheng Siong Group Ltd,OV8.SI,Consumer Defensive
Singapore Airlines Limited,C6L.SI,Industrials
Singapore Exchange Limited,S68.SI,Financial Services
Singapore Technologies Engineering Ltd,S63.SI,Industrials
Singapore Telecommunications Limited,Z74.SI,Communication Services
Soilbuild Business Space REIT,SV3U.SI,Real Estate
StarHub Ltd,CC3.SI,Communication Services
Starhill Global Real Estate Investment Trust,P40U.SI,Real Estate
Suntec Real Estate Investment Trust,T82U.SI,Real Estate
Thai Beverage Public Company Limited,Y92.SI,Consumer Defensive
Top Glove Corporation Bhd.,BVA.SI,Healthcare
Tritech Group Limited,5G9.SI,Industrials
UG Healthcare Corporation Limited,41A.SI,Healthcare
UOL Group Limited,U14.SI,Real Estate
United Overseas Bank Limited,U11.SI,Financial Services
Valuetronics Holdings Limited,BN2.SI,Technology
Venture Corporation Limited,V03.SI,Technology
Wilmar International Limited,F34.SI,Consumer Defensive
Yangzijiang Shipbuilding (Holdings) Ltd.,BS6.SI,Industrials
